Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
0.081152,300,301,116888.2,116669.76321428572,116669.76321428572,117325.0435714286,-46.15712578043445,28.430543746148572,-0.004865963634787057,2025-09-17 02:45:00+00:00,2025-09-17 03:00:00+00:00,0 days 00:15:00,score=80
0.080398,398,409,117440.32,117029.74428571429,117029.74428571429,118261.47142857144,-61.28585261980794,28.276386342664285,-0.0064907930318504736,2025-09-18 03:15:00+00:00,2025-09-18 06:00:00+00:00,0 days 02:45:00,score=80
0.07790699999999999,1883,1886,120448.88,121238.34714285716,120054.14642857142,121238.34714285716,33.2613264910448,28.24369020752786,0.0035445435619066686,2025-10-03 14:30:00+00:00,2025-10-03 15:15:00+00:00,0 days 00:45:00,score=80
0.077018,2023,2026,122248.01,122587.69357142856,122078.1682142857,122587.69357142856,-2.1233850222112416,28.285134326496426,-0.0002255250120519448,2025-10-05 01:30:00+00:00,2025-10-05 02:15:00+00:00,0 days 00:45:00,score=80
0.076013,2124,2168,123839.08,125004.82071428574,123256.19464285714,125004.82071428574,60.238391777509456,28.373057137492502,0.0063992308664947645,2025-10-06 02:45:00+00:00,2025-10-06 13:45:00+00:00,0 days 11:00:00,score=80
0.077149,2456,2457,122755.99,122159.92464285714,122159.92464285714,123948.1507142857,-74.32837308638747,28.342526848172678,-0.007848409100909488,2025-10-09 13:45:00+00:00,2025-10-09 14:00:00+00:00,0 days 00:15:00,score=80
0.09866599999999999,12051,12058,95270.24,95475.7357142857,95167.49214285715,95475.7357142857,-7.954773514025696,28.230213659738574,-0.0008462584883351201,2026-01-17 12:30:00+00:00,2026-01-17 14:15:00+00:00,0 days 01:45:00,score=80
0.098328,12186,12189,95521.73,95373.69214285715,95373.69214285715,95817.83571428573,-42.711814019834726,28.155547602694284,-0.004547457320518818,2026-01-18 22:15:00+00:00,2026-01-18 23:00:00+00:00,0 days 00:45:00,score=80
0.125076,20548,20585,74770.17,74412.2125,74412.2125,75486.11499999999,-72.76059578035571,27.988703510355002,-0.007780256133562465,2026-04-16 00:45:00+00:00,2026-04-16 10:00:00+00:00,0 days 09:15:00,score=80
0.123721,20670,20676,75031.1,75421.1635714286,74836.08321428571,75421.1635714286,20.337898368734407,27.921156751981073,0.002190893856966381,2026-04-17 07:15:00+00:00,2026-04-17 08:45:00+00:00,0 days 01:30:00,score=80
0.120485,20758,20767,77206.58,76994.41035714286,76994.41035714286,77630.91928571428,-53.43161890441313,27.868359484770536,-0.005743955092854209,2026-04-18 05:15:00+00:00,2026-04-18 07:30:00+00:00,0 days 02:15:00,score=80
0.12197699999999999,20897,20900,75846.63,75460.24285714286,75460.24285714286,76619.40428571428,-74.81428217002951,27.68393764574357,-0.008086680346151901,2026-04-19 16:00:00+00:00,2026-04-19 16:45:00+00:00,0 days 00:45:00,score=80
0.120361,21002,21021,76275.24,75773.84892857143,75773.84892857143,77278.02214285717,-87.79910133701242,27.45117058879768,-0.009563584523908812,2026-04-20 18:15:00+00:00,2026-04-20 23:00:00+00:00,0 days 04:45:00,score=80
